iter	Logloss
0	0.6295723383
1	0.5806124444
2	0.5512362485
3	0.5227517654
4	0.5060304912
5	0.4849529656
6	0.47229302
7	0.4595464612
8	0.4502089135
9	0.4432433931
10	0.4359167093
11	0.4288706543
12	0.4191762084
13	0.4111162363
14	0.4047969582
15	0.400206275
16	0.3956864783
17	0.3926852886
18	0.3892199466
19	0.3872931097
20	0.3854568197
21	0.383626384
22	0.3824010256
23	0.3807545107
24	0.3796091253
25	0.3786164086
26	0.3775393706
27	0.37649475
28	0.3757117335
29	0.3749837464
30	0.3743395175
31	0.372704927
32	0.3716542014
33	0.3712239781
34	0.370873501
35	0.3705121684
36	0.3698587095
37	0.3695933056
38	0.3692000664
39	0.3688378505
40	0.3680346459
41	0.3673609678
42	0.3671173072
43	0.3666948185
44	0.366496187
45	0.3662186482
46	0.3660048115
47	0.3658627453
48	0.3656883609
49	0.3655212678
50	0.365060317
51	0.364700017
52	0.3645318289
53	0.364177981
54	0.3640592667
55	0.3639832389
56	0.3638763808
57	0.3637469984
58	0.3634282835
59	0.3633482815
60	0.363103282
61	0.3630008491
62	0.3627915385
63	0.3627152804
64	0.3625402291
65	0.36247223
66	0.3622997237
67	0.3621072177
68	0.3620216335
69	0.3619464447
70	0.3618631162
71	0.3618102024
72	0.3616995859
73	0.3616392438
74	0.3615892479
75	0.3614724505
76	0.3613883747
77	0.3613280708
78	0.3612869838
79	0.3612153233
80	0.3611524119
81	0.3611075248
82	0.3609382775
83	0.3607889583
84	0.3607424712
85	0.3606794184
86	0.3606495731
87	0.3605960676
88	0.3605295533
89	0.3604831654
90	0.360425769
91	0.3602706237
92	0.3602085989
93	0.3601231245
94	0.3600500662
95	0.3600150469
96	0.3599626309
97	0.3599117784
98	0.3598693785
99	0.3598339114
100	0.3597224273
101	0.3596533315
102	0.3596283551
103	0.3595657108
104	0.3594920853
105	0.3594561093
106	0.3593488253
107	0.3593168641
108	0.3592538766
109	0.3592102853
110	0.3591557696
111	0.3591109165
112	0.3590753088
113	0.359037264
114	0.3590041298
115	0.3589523356
116	0.3589109421
117	0.3588743975
118	0.3588197949
119	0.3587880714
120	0.3587422287
121	0.3587194406
122	0.3587010145
123	0.358654289
124	0.3586225326
125	0.3585975712
126	0.3585465579
127	0.3585193426
128	0.35850195
129	0.358454126
130	0.3584130206
131	0.3583810828
132	0.358346026
133	0.3583140778
134	0.3582971622
135	0.3582234223
136	0.3581870254
137	0.3581655692
138	0.3581369844
139	0.3581214489
140	0.3580865058
141	0.3580587983
142	0.3580371127
143	0.3580052992
144	0.3579835855
145	0.3579401674
146	0.3579240201
